policy_id,occupation,age,coverage_amount,premium,policy_type,issue_date,risk_rating,medical_exam_required
PP-1001,Firefighter,62,1000000,550,Universal Life,2021-11-14,Low,Yes
PP-1002,Journalist,23,2000000,775,Whole Life,2022-01-12,Low,Yes
PP-1003,Factory Worker,78,1000000,1233,Whole Life,2018-10-08,Medium,Yes
PP-1004,Software Engineer,62,15000000,33000,Whole Life,2024-01-06,High,Yes
PP-1005,Researcher,64,10000000,22333,Whole Life,2018-09-26,High,Yes
PP-1006,Researcher,56,50000,26,Universal Life,2019-11-16,Low,No
PP-1007,Military Officer,45,2000000,958,Universal Life,2018-12-09,Low,Yes
PP-1008,Bus Driver,53,500000,512,Universal Life,2018-08-02,Medium,Yes
PP-1009,Graphic Designer,65,5000000,5625,Term Life,2019-11-08,Medium,Yes
PP-1010,Artist,40,2000000,1833,Term Life,2022-03-15,Medium,Yes
PP-1011,Artist,22,2000000,1533,Whole Life,2019-05-22,Medium,Yes
PP-1012,Taxi Driver,29,1000000,825,Universal Life,2020-09-23,Medium,Yes
PP-1013,Accountant,62,15000000,33000,Universal Life,2020-09-26,High,Yes
PP-1014,Photographer,55,25000,52,Term Life,2023-06-02,High,No
PP-1015,Service Worker,71,2000000,1175,Universal Life,2019-12-01,Low,Yes
PP-1016,Dancer,55,2000000,1041,Universal Life,2022-07-20,Low,Yes
PP-1017,Air Traffic Controller,40,5000000,2291,Whole Life,2019-03-23,Low,Yes
PP-1018,Truck Driver,28,750000,306,Whole Life,2021-09-03,Low,Yes
PP-1019,Chef,68,2000000,1149,Whole Life,2018-09-26,Low,Yes
PP-1020,Truck Driver,39,25000,45,Whole Life,2021-05-28,High,No
PP-1021,Retired,41,2000000,925,Whole Life,2018-04-27,Low,Yes
PP-1022,Researcher,78,750000,1850,Whole Life,2022-02-19,High,Yes
PP-1023,Mechanical Engineer,76,50000,121,Term Life,2019-04-21,High,No
PP-1024,Teacher,18,15000000,11000,Term Life,2018-06-21,Medium,Yes
PP-1025,Graphic Designer,79,5000000,3104,Whole Life,2024-07-31,Low,Yes
PP-1026,Commercial Pilot,36,25000,11,Universal Life,2023-12-19,Low,No
PP-1027,Physicist,18,1000000,733,Term Life,2023-10-27,Medium,Yes
PP-1028,Software Engineer,80,250000,312,Whole Life,2019-12-20,Medium,No
PP-1029,Photographer,78,750000,925,Universal Life,2020-09-14,Medium,Yes
PP-1030,Writer,49,100000,198,Whole Life,2024-11-02,High,No
PP-1031,Healthcare Worker,60,10000000,10833,Whole Life,2021-11-24,Medium,Yes
PP-1032,Photographer,19,2000000,2966,Whole Life,2023-02-09,High,Yes
PP-1033,Commercial Pilot,54,1000000,516,Universal Life,2020-11-26,Low,Yes
PP-1034,Retired,76,25000,15,Whole Life,2019-12-21,Low,No
PP-1035,Retired,29,250000,412,Term Life,2020-08-03,High,No
PP-1036,Professional Athlete,58,500000,266,Term Life,2020-04-07,Low,Yes
PP-1037,Researcher,44,15000000,7125,Term Life,2023-03-01,Low,Yes
PP-1038,Military Officer,29,250000,206,Whole Life,2020-07-04,Medium,No
PP-1039,Police Officer,73,750000,446,Universal Life,2021-08-09,Low,Yes
PP-1040,Civil Engineer,21,5000000,3791,Whole Life,2023-11-03,Medium,Yes
PP-1041,Architect,40,15000000,6875,Term Life,2024-07-27,Low,Yes
PP-1042,Accountant,31,250000,105,Term Life,2023-01-30,Low,No
PP-1043,High-Risk Driver,52,250000,127,Term Life,2022-07-01,Low,No
PP-1044,Journalist,48,1000000,983,Term Life,2021-01-31,Medium,Yes
PP-1045,Factory Worker,66,100000,56,Whole Life,2023-12-16,Low,No
PP-1046,Chef,51,100000,50,Whole Life,2019-10-14,Low,No
PP-1047,Veterinarian,49,10000000,4958,Universal Life,2020-07-26,Low,Yes
PP-1048,Miner,39,15000000,13625,Term Life,2018-07-25,Medium,Yes
PP-1049,Researcher,26,100000,160,Universal Life,2024-11-18,High,No
PP-1050,Chef,51,250000,252,Whole Life,2024-02-26,Medium,No
PP-1051,Writer,69,15000000,34750,Whole Life,2022-10-23,High,Yes
PP-1052,Professional Athlete,31,750000,631,Universal Life,2024-09-16,Medium,Yes
PP-1053,Software Engineer,37,750000,1337,Whole Life,2022-03-11,High,Yes
PP-1054,Veterinarian,18,10000000,14666,Term Life,2023-12-01,High,Yes
PP-1055,Chemist,43,50000,23,Term Life,2024-06-20,Low,No
PP-1056,Actor,37,1000000,445,Term Life,2018-11-01,Low,Yes
PP-1057,Biologist,20,500000,375,Whole Life,2019-05-10,Medium,Yes
PP-1058,Biologist,64,15000000,8375,Whole Life,2021-07-23,Low,Yes
PP-1059,Taxi Driver,27,5000000,4041,Whole Life,2019-04-27,Medium,Yes
PP-1060,Miner,35,10000000,4375,Term Life,2020-11-07,Low,Yes
PP-1061,Software Engineer,77,500000,306,Whole Life,2023-06-02,Low,Yes
PP-1062,Pilot,56,750000,393,Term Life,2018-01-04,Low,Yes
PP-1063,Miner,49,500000,495,Universal Life,2024-06-01,Medium,Yes
PP-1064,Truck Driver,68,15000000,34499,Universal Life,2024-06-28,High,Yes
PP-1065,Student,55,50000,52,Whole Life,2018-10-05,Medium,No
PP-1066,Attorney,44,100000,47,Term Life,2021-02-01,Low,No
PP-1067,Pharmacist,68,1000000,2299,Universal Life,2024-08-21,High,Yes
PP-1068,Mechanical Engineer,60,100000,216,Universal Life,2023-04-26,High,No
PP-1069,Skilled Laborer,78,1000000,616,Universal Life,2024-05-20,Low,Yes
PP-1070,Student,26,1000000,400,Whole Life,2020-02-28,Low,Yes
PP-1071,Writer,63,500000,277,Universal Life,2018-08-20,Low,Yes
PP-1072,Photographer,50,10000000,5000,Term Life,2018-01-03,Low,Yes
PP-1073,Police Officer,52,50000,50,Whole Life,2024-01-30,Medium,No
PP-1074,Dentist,39,1000000,454,Term Life,2021-05-01,Low,Yes
PP-1075,Therapist,44,250000,118,Term Life,2019-12-31,Low,No
PP-1076,Miner,27,50000,40,Universal Life,2020-11-06,Medium,No
PP-1077,Pharmacist,72,750000,443,Whole Life,2018-03-01,Low,Yes
PP-1078,Commercial Pilot,50,750000,375,Whole Life,2022-07-26,Low,Yes
PP-1079,Miner,32,5000000,4250,Universal Life,2020-01-03,Medium,Yes
PP-1080,Journalist,33,250000,429,Universal Life,2023-03-19,High,No
PP-1081,Chef,39,15000000,6812,Whole Life,2020-08-05,Low,Yes
PP-1082,Chemist,26,2000000,800,Whole Life,2018-05-28,Low,Yes
PP-1083,Surgeon,54,500000,1033,Term Life,2018-04-30,High,Yes
PP-1084,Software Engineer,36,250000,220,Universal Life,2024-07-13,Medium,No
PP-1085,Professional Athlete,23,750000,581,Universal Life,2024-05-07,Medium,Yes
PP-1086,Chemical Plant Operator,62,100000,55,Universal Life,2018-02-08,Low,No
PP-1087,Professional Athlete,63,50000,110,Term Life,2020-02-25,High,No
PP-1088,Taxi Driver,52,2000000,2033,Term Life,2019-06-24,Medium,Yes
PP-1089,Nurse,23,250000,96,Universal Life,2022-05-20,Low,No
PP-1090,Physicist,40,750000,687,Term Life,2018-05-05,Medium,Yes
PP-1091,Scientist,40,15000000,27500,Term Life,2019-08-21,High,Yes
PP-1092,Manager,36,750000,331,Universal Life,2022-10-22,Low,Yes
PP-1093,Graphic Designer,60,750000,406,Whole Life,2021-06-17,Low,Yes
PP-1094,Chemist,51,25000,25,Whole Life,2020-09-30,Medium,No
PP-1095,Accountant,41,15000000,13875,Whole Life,2018-12-03,Medium,Yes
PP-1096,Chemist,49,500000,495,Term Life,2018-08-21,Medium,Yes
PP-1097,Musician,27,25000,10,Term Life,2019-02-04,Low,No
PP-1098,Bus Driver,66,5000000,11333,Universal Life,2023-12-24,High,Yes
PP-1099,Chemical Plant Operator,38,5000000,2250,Whole Life,2024-09-05,Low,Yes
PP-1100,Journalist,37,100000,44,Whole Life,2024-11-17,Low,No
PP-1101,Software Engineer,32,500000,212,Universal Life,2023-01-13,Low,Yes
PP-1102,Manager,24,15000000,5875,Whole Life,2023-03-31,Low,Yes
PP-1103,Musician,39,1000000,1816,Whole Life,2021-11-11,High,Yes
PP-1104,Writer,40,250000,114,Term Life,2019-01-15,Low,No
PP-1105,Dancer,57,10000000,10583,Whole Life,2018-12-30,Medium,Yes
PP-1106,Chef,24,15000000,11750,Universal Life,2022-03-13,Medium,Yes
PP-1107,Nurse,47,10000000,9750,Whole Life,2023-05-30,Medium,Yes
PP-1108,Skilled Laborer,68,5000000,2875,Universal Life,2019-06-05,Low,Yes
PP-1109,Surgeon,70,2000000,4666,Term Life,2022-07-30,High,Yes
PP-1110,Student,25,500000,197,Whole Life,2022-05-13,Low,Yes
PP-1111,Professional Athlete,56,250000,131,Whole Life,2019-03-29,Low,No
PP-1112,Software Engineer,63,10000000,11083,Universal Life,2023-03-27,Medium,Yes
PP-1113,Journalist,26,5000000,4000,Whole Life,2018-06-08,Medium,Yes
PP-1114,Attorney,49,750000,743,Universal Life,2023-05-16,Medium,Yes
PP-1115,Artist,48,5000000,4916,Term Life,2019-11-02,Medium,Yes
PP-1116,Professional Athlete,54,15000000,7750,Whole Life,2023-06-21,Low,Yes
PP-1117,Truck Driver,80,1000000,625,Whole Life,2020-12-24,Low,Yes
PP-1118,Actor,48,5000000,4916,Whole Life,2021-12-08,Medium,Yes
PP-1119,Attorney,37,500000,445,Universal Life,2018-09-09,Medium,Yes
PP-1120,Retired,24,1000000,391,Whole Life,2024-01-16,Low,Yes
PP-1121,Nurse,69,750000,868,Universal Life,2022-07-06,Medium,Yes
PP-1122,Truck Driver,28,10000000,8166,Universal Life,2023-05-13,Medium,Yes
PP-1123,Miner,67,2000000,1141,Term Life,2019-10-28,Low,Yes
PP-1124,Architect,56,10000000,10500,Whole Life,2022-01-04,Medium,Yes
PP-1125,Military Officer,76,1000000,2433,Whole Life,2023-05-31,High,Yes
PP-1126,Military Officer,25,15000000,11875,Universal Life,2019-02-03,Medium,Yes
PP-1127,Biologist,31,250000,420,Universal Life,2018-07-22,High,No
PP-1128,Photographer,66,100000,113,Universal Life,2018-04-30,Medium,No
PP-1129,Scientist,67,2000000,2283,Whole Life,2018-11-01,Medium,Yes
PP-1130,Mechanical Engineer,41,750000,693,Whole Life,2019-05-31,Medium,Yes
PP-1131,Writer,70,5000000,2916,Term Life,2020-11-28,Low,Yes
PP-1132,Service Worker,71,500000,1175,Universal Life,2024-11-05,High,Yes
PP-1133,Factory Worker,77,10000000,6125,Term Life,2018-03-12,Low,Yes
PP-1134,Taxi Driver,71,750000,1762,Universal Life,2019-08-28,High,Yes
PP-1135,Firefighter,50,5000000,2500,Term Life,2019-01-13,Low,Yes
PP-1136,Architect,28,500000,204,Term Life,2018-04-05,Low,Yes
PP-1137,Manager,33,15000000,25750,Whole Life,2019-02-26,High,Yes
PP-1138,Skilled Laborer,63,5000000,5541,Universal Life,2019-05-20,Medium,Yes
PP-1139,Attorney,35,1000000,1750,Whole Life,2022-10-04,High,Yes
PP-1140,Professional Athlete,57,25000,52,Universal Life,2021-09-27,High,No
PP-1141,Dentist,64,2000000,2233,Universal Life,2024-05-18,Medium,Yes
PP-1142,Truck Driver,52,250000,127,Universal Life,2020-04-22,Low,No
PP-1143,Dentist,40,25000,22,Term Life,2022-07-02,Medium,No
PP-1144,Writer,24,750000,293,Whole Life,2020-05-26,Low,Yes
PP-1145,Skilled Laborer,48,2000000,983,Term Life,2019-10-21,Low,Yes
PP-1146,Student,37,500000,222,Whole Life,2019-06-01,Low,Yes
PP-1147,Therapist,65,25000,56,Universal Life,2024-12-23,High,No
PP-1148,Commercial Pilot,68,2000000,1149,Universal Life,2021-03-25,Low,Yes
PP-1149,Electrician,78,15000000,37000,Term Life,2023-12-07,High,Yes
PP-1150,Dancer,57,5000000,2645,Whole Life,2023-03-02,Low,Yes
PP-1151,Pilot,62,5000000,2750,Term Life,2019-07-06,Low,Yes
PP-1152,Chemist,27,25000,20,Whole Life,2024-11-23,Medium,No
PP-1153,Taxi Driver,45,1000000,958,Term Life,2023-05-15,Medium,Yes
PP-1154,Taxi Driver,38,250000,112,Universal Life,2022-12-30,Low,No
PP-1155,Miner,67,250000,285,Whole Life,2021-08-07,Medium,No
PP-1156,Student,57,15000000,7937,Term Life,2019-07-17,Low,Yes
PP-1157,Attorney,56,500000,525,Whole Life,2021-06-15,Medium,Yes
PP-1158,Chemical Plant Operator,54,5000000,2583,Term Life,2019-11-18,Low,Yes
PP-1159,Accountant,25,100000,79,Term Life,2021-12-20,Medium,No
PP-1160,Architect,72,1000000,591,Universal Life,2021-08-07,Low,Yes
PP-1161,Biologist,36,10000000,8833,Whole Life,2020-01-11,Medium,Yes
PP-1162,Dentist,34,2000000,1733,Universal Life,2024-06-22,Medium,Yes
PP-1163,Retired,79,250000,620,Whole Life,2024-10-13,High,No
PP-1164,Software Engineer,24,15000000,23500,Universal Life,2018-05-24,High,Yes
PP-1165,Plumber,34,10000000,4333,Term Life,2023-07-05,Low,Yes
PP-1166,Nurse,34,750000,325,Whole Life,2024-10-21,Low,Yes
PP-1167,Nurse,57,25000,26,Universal Life,2024-07-01,Medium,No
PP-1168,Miner,44,10000000,9500,Universal Life,2020-06-18,Medium,Yes
PP-1169,Scientist,65,25000,14,Universal Life,2019-11-09,Low,No
PP-1170,Bus Driver,18,1000000,733,Whole Life,2018-09-22,Medium,Yes
PP-1171,Professional Athlete,53,250000,256,Term Life,2022-09-14,Medium,No
PP-1172,Plumber,73,50000,29,Whole Life,2018-03-20,Low,No
PP-1173,Taxi Driver,54,750000,387,Universal Life,2020-02-12,Low,Yes
PP-1174,Factory Worker,51,250000,126,Term Life,2019-03-05,Low,No
PP-1175,Chemist,61,750000,818,Universal Life,2021-03-08,Medium,Yes
PP-1176,Student,42,1000000,466,Universal Life,2024-10-24,Low,Yes
PP-1177,Military Officer,53,2000000,1025,Universal Life,2021-04-14,Low,Yes
PP-1178,High-Risk Driver,54,500000,516,Whole Life,2018-10-20,Medium,Yes
PP-1179,Miner,29,15000000,6187,Whole Life,2019-10-07,Low,Yes
PP-1180,Student,56,250000,525,Term Life,2018-02-23,High,No
PP-1181,Software Engineer,78,2000000,4933,Whole Life,2018-02-20,High,Yes
PP-1182,Chemist,46,25000,24,Term Life,2019-01-23,Medium,No
PP-1183,Retired,43,5000000,9416,Term Life,2018-06-30,High,Yes
PP-1184,Journalist,62,100000,55,Universal Life,2023-06-30,Low,No
PP-1185,Musician,65,5000000,2812,Universal Life,2024-12-31,Low,Yes
PP-1186,Actor,31,5000000,2104,Term Life,2019-03-15,Low,Yes
PP-1187,Air Traffic Controller,79,1000000,620,Term Life,2022-05-21,Low,Yes
PP-1188,Attorney,51,750000,378,Term Life,2019-03-05,Low,Yes
PP-1189,Dentist,36,100000,88,Whole Life,2022-11-08,Medium,No
PP-1190,Police Officer,34,50000,21,Term Life,2023-02-25,Low,No
PP-1191,Graphic Designer,52,50000,50,Whole Life,2021-05-05,Medium,No
PP-1192,Graphic Designer,75,2000000,1208,Term Life,2020-05-31,Low,Yes
PP-1193,Actor,80,100000,62,Universal Life,2022-05-04,Low,No
PP-1194,Graphic Designer,34,2000000,1733,Whole Life,2023-04-27,Medium,Yes
PP-1195,Taxi Driver,28,10000000,4083,Whole Life,2020-06-15,Low,Yes
PP-1196,Mechanical Engineer,65,750000,421,Universal Life,2020-11-16,Low,Yes
PP-1197,Police Officer,71,2000000,1175,Whole Life,2023-12-13,Low,Yes
PP-1198,Pharmacist,27,10000000,16166,Whole Life,2018-11-02,High,Yes
PP-1199,Scientist,47,10000000,19500,Term Life,2022-09-12,High,Yes
PP-1200,High-Risk Driver,42,1000000,466,Whole Life,2019-04-24,Low,Yes
PP-1201,Police Officer,29,100000,82,Term Life,2018-11-06,Medium,No
PP-1202,Architect,39,1000000,454,Whole Life,2019-03-19,Low,Yes
PP-1203,Chef,41,750000,346,Term Life,2019-05-21,Low,Yes
PP-1204,Biologist,73,100000,119,Universal Life,2024-06-30,Medium,No
PP-1205,Civil Engineer,33,10000000,17166,Universal Life,2023-01-22,High,Yes
PP-1206,Construction Worker,79,750000,1862,Universal Life,2019-01-05,High,Yes
PP-1207,Actor,21,250000,379,Term Life,2018-03-23,High,No
PP-1208,Construction Worker,20,100000,150,Term Life,2019-06-19,High,No
PP-1209,Photographer,29,250000,103,Term Life,2019-08-05,Low,No
PP-1210,Pilot,62,10000000,5500,Universal Life,2024-06-25,Low,Yes
PP-1211,Miner,26,10000000,4000,Term Life,2021-01-23,Low,Yes
PP-1212,Architect,64,2000000,1116,Term Life,2023-06-14,Low,Yes
PP-1213,Pilot,64,15000000,8375,Whole Life,2018-02-09,Low,Yes
PP-1214,Pharmacist,42,500000,466,Universal Life,2019-06-19,Medium,Yes
PP-1215,Physicist,34,100000,86,Whole Life,2024-02-28,Medium,No
PP-1216,Manager,76,750000,1825,Universal Life,2018-07-18,High,Yes
PP-1217,Chemist,66,250000,141,Universal Life,2021-11-01,Low,No
PP-1218,Biologist,64,50000,111,Term Life,2020-08-21,High,No
PP-1219,Professional Athlete,49,1000000,991,Universal Life,2020-07-01,Medium,Yes
PP-1220,Physicist,20,250000,375,Whole Life,2024-12-28,High,No
PP-1221,Teacher,26,5000000,4000,Universal Life,2024-06-30,Medium,Yes
PP-1222,Attorney,65,5000000,5625,Whole Life,2021-11-13,Medium,Yes
PP-1223,Air Traffic Controller,20,250000,93,Term Life,2018-03-08,Low,No
PP-1224,Chemical Plant Operator,56,10000000,5250,Term Life,2023-01-01,Low,Yes
PP-1225,Physicist,19,50000,37,Term Life,2019-12-23,Medium,No
PP-1226,Musician,24,25000,39,Term Life,2023-01-26,High,No
PP-1227,Manager,50,1000000,1000,Whole Life,2023-03-19,Medium,Yes
PP-1228,Teacher,64,5000000,2791,Whole Life,2021-01-28,Low,Yes
PP-1229,Professional Athlete,55,100000,104,Universal Life,2024-08-30,Medium,No
PP-1230,Taxi Driver,28,25000,20,Term Life,2022-04-21,Medium,No
PP-1231,Chemist,19,5000000,3708,Whole Life,2023-05-22,Medium,Yes
PP-1232,Manager,19,5000000,7416,Term Life,2021-06-26,High,Yes
PP-1233,Police Officer,22,5000000,7666,Universal Life,2020-03-19,High,Yes
PP-1234,Therapist,45,10000000,4791,Whole Life,2021-08-22,Low,Yes
PP-1235,Therapist,45,5000000,2395,Whole Life,2022-02-25,Low,Yes
PP-1236,Police Officer,53,250000,128,Universal Life,2018-11-30,Low,No
PP-1237,Physicist,44,750000,712,Universal Life,2023-07-13,Medium,Yes
PP-1238,Musician,61,750000,409,Term Life,2022-06-25,Low,Yes
PP-1239,Taxi Driver,51,25000,50,Whole Life,2018-08-01,High,No
PP-1240,Chemist,24,500000,195,Universal Life,2021-01-11,Low,Yes
PP-1241,Chemical Plant Operator,36,2000000,883,Universal Life,2020-07-10,Low,Yes
PP-1242,Pharmacist,62,25000,13,Whole Life,2019-06-11,Low,No
PP-1243,Journalist,32,500000,212,Whole Life,2019-12-25,Low,Yes
PP-1244,Researcher,19,750000,278,Term Life,2023-03-14,Low,Yes
PP-1245,Bus Driver,58,500000,266,Whole Life,2019-09-07,Low,Yes
PP-1246,Skilled Laborer,61,500000,1091,Whole Life,2019-02-17,High,Yes
PP-1247,Pharmacist,64,250000,139,Term Life,2024-03-19,Low,No
PP-1248,Military Officer,59,250000,537,Term Life,2023-07-15,High,No
PP-1249,Biologist,19,2000000,2966,Term Life,2024-08-09,High,Yes
PP-1250,Pharmacist,53,250000,256,Term Life,2020-12-19,Medium,No
PP-1251,Journalist,24,15000000,5875,Term Life,2023-08-27,Low,Yes
PP-1252,Commercial Pilot,52,750000,381,Whole Life,2018-01-23,Low,Yes
PP-1253,High-Risk Driver,70,1000000,2333,Term Life,2022-10-09,High,Yes
PP-1254,Nurse,25,750000,296,Whole Life,2020-08-13,Low,Yes
PP-1255,Dancer,18,100000,36,Universal Life,2021-03-24,Low,No
PP-1256,Taxi Driver,22,25000,38,Term Life,2018-01-01,High,No
PP-1257,Electrician,57,1000000,2116,Universal Life,2018-09-21,High,Yes
PP-1258,Software Engineer,80,1000000,625,Whole Life,2023-01-31,Low,Yes
PP-1259,Actor,29,50000,82,Whole Life,2022-05-15,High,No
PP-1260,Dentist,19,50000,74,Universal Life,2022-07-20,High,No
PP-1261,Writer,46,2000000,966,Whole Life,2019-09-24,Low,Yes
PP-1262,Chemist,59,100000,53,Term Life,2019-12-09,Low,No
PP-1263,Pharmacist,42,250000,116,Whole Life,2020-08-01,Low,No
PP-1264,Civil Engineer,50,500000,250,Whole Life,2020-12-27,Low,Yes
PP-1265,Journalist,62,500000,275,Term Life,2022-03-20,Low,Yes
PP-1266,Chemist,68,750000,431,Universal Life,2020-04-17,Low,Yes
PP-1267,Mechanical Engineer,24,25000,39,Whole Life,2018-03-20,High,No
PP-1268,Construction Worker,36,500000,441,Universal Life,2020-03-22,Medium,Yes
PP-1269,Musician,34,500000,216,Term Life,2019-07-05,Low,Yes
PP-1270,Musician,47,10000000,4875,Term Life,2022-06-16,Low,Yes
PP-1271,Civil Engineer,68,100000,57,Term Life,2024-05-06,Low,No
PP-1272,Musician,44,750000,356,Universal Life,2023-04-21,Low,Yes
PP-1273,Mechanical Engineer,19,15000000,22250,Whole Life,2018-07-15,High,Yes
PP-1274,Graphic Designer,47,750000,365,Whole Life,2022-11-28,Low,Yes
PP-1275,Architect,49,25000,24,Whole Life,2018-02-12,Medium,No
PP-1276,Nurse,18,1000000,733,Term Life,2021-04-09,Medium,Yes
PP-1277,Bus Driver,77,50000,30,Whole Life,2023-01-22,Low,No
PP-1278,Veterinarian,64,50000,55,Whole Life,2018-09-10,Medium,No
PP-1279,Military Officer,32,750000,637,Universal Life,2022-03-26,Medium,Yes
PP-1280,Writer,63,250000,554,Term Life,2021-07-21,High,No
PP-1281,Military Officer,60,2000000,1083,Term Life,2024-05-31,Low,Yes
PP-1282,Construction Worker,19,2000000,741,Term Life,2018-09-13,Low,Yes
PP-1283,Taxi Driver,25,25000,9,Universal Life,2018-04-17,Low,No
PP-1284,Truck Driver,40,25000,11,Term Life,2023-08-08,Low,No
PP-1285,Taxi Driver,24,500000,195,Universal Life,2024-05-14,Low,Yes
PP-1286,Pharmacist,57,750000,793,Term Life,2019-03-11,Medium,Yes
PP-1287,Dancer,62,100000,110,Whole Life,2023-06-27,Medium,No
PP-1288,Veterinarian,62,5000000,2750,Whole Life,2019-12-13,Low,Yes
PP-1289,Electrician,38,100000,90,Whole Life,2023-08-22,Medium,No
PP-1290,Plumber,23,750000,581,Term Life,2018-05-17,Medium,Yes
PP-1291,Miner,38,5000000,4500,Term Life,2022-10-23,Medium,Yes
PP-1292,Taxi Driver,66,250000,283,Whole Life,2024-11-05,Medium,No
PP-1293,Dancer,56,50000,52,Universal Life,2019-01-06,Medium,No
PP-1294,Journalist,67,25000,14,Universal Life,2024-07-05,Low,No
PP-1295,Chemist,43,250000,235,Whole Life,2020-04-07,Medium,No
PP-1296,Military Officer,79,100000,62,Whole Life,2020-11-26,Low,No
PP-1297,Surgeon,63,50000,55,Universal Life,2022-06-10,Medium,No
PP-1298,Software Engineer,41,750000,346,Term Life,2023-05-07,Low,Yes
PP-1299,Artist,67,100000,57,Universal Life,2019-09-24,Low,No
PP-1300,Chemist,37,100000,178,Whole Life,2019-02-07,High,No
